,0
2014-02-01,62.1642
2014-03-01,60.9476
2014-04-01,60.3464
2014-05-01,59.2843
2014-06-01,59.7367
2014-07-01,60.0956
2014-08-01,60.8738
2014-09-01,60.8976
2014-10-01,61.3668
2014-11-01,61.6828
2014-12-01,62.7071
2015-01-01,62.13
2015-02-01,61.9905
2015-03-01,62.4805
2015-04-01,62.6414
2015-05-01,63.715
2015-06-01,63.7809
2015-07-01,63.6045
2015-08-01,65.0971
2015-09-01,66.1667
2015-10-01,65.0262
2015-11-01,66.1
2015-12-01,66.5023
2016-01-01,67.3332
2016-02-01,68.2395
2016-03-01,66.8909
2016-04-01,66.4219
2016-05-01,66.8895
2016-06-01,67.2655
2016-07-01,67.158
2016-08-01,66.9035
2016-09-01,66.7138
2016-10-01,66.7415
2016-11-01,67.6395
2016-12-01,67.8052
2017-01-01,68.0474
2017-02-01,66.9726
2017-03-01,65.8009
2017-04-01,64.536
2017-05-01,64.4195
2017-06-01,64.4482
2017-07-01,64.424
2017-08-01,63.9683
2017-09-01,64.4775
2017-10-01,65.0357
2017-11-01,64.8435
2017-12-01,64.2445
2018-01-01,63.6452
2018-02-01,64.43
2018-03-01,65.0455
2018-04-01,65.6729
2018-05-01,67.51
2018-06-01,67.79
2018-07-01,68.6867
2018-08-01,69.6317
2018-09-01,72.2779
2018-10-01,73.5609
2018-11-01,71.738
2018-12-01,70.8331
2019-01-01,70.71
2019-02-01,71.1739
2019-03-01,69.4895
2019-04-01,69.4068
2019-05-01,69.7827
2019-06-01,69.388
2019-07-01,68.7391
2019-08-01,71.1891
2019-09-01,71.311
2019-10-01,71.0086
2019-11-01,71.4942
2019-12-01,71.1567
2020-01-01,71.279
2020-02-01,71.5295
2020-03-01,74.5482
2020-04-01,76.1682
2020-05-01,75.6575
2020-06-01,75.7077
2020-07-01,74.9286
2020-08-01,74.5657
2020-09-01,73.5233
2020-10-01,73.5648
2020-11-01,74.2311
2020-12-01,73.6195
2021-01-01,73.1106
2021-02-01,72.8053
2021-03-01,72.8196
2021-04-01,74.5186
2021-05-01,73.2065
2021-06-01,73.5782
2021-07-01,74.539
2021-08-01,74.1155
2021-09-01,73.6357
2021-10-01,74.92
2021-11-01,74.477
2021-12-01,75.3948
2022-01-01,74.4075
2022-02-01,74.9695
2022-03-01,76.1896
2022-04-01,76.1719
2022-05-01,77.2933
2022-06-01,78.09
2022-07-01,79.5915
2022-08-01,79.5065
2022-09-01,80.2538
2022-10-01,82.2915
2022-11-01,81.6805
2022-12-01,82.4738
2023-01-01,81.741
2023-02-01,82.5995
2023-03-01,82.2665
2023-04-01,81.9685
2023-05-01,82.2977
2023-06-01,82.2252
2023-07-01,82.1565
2023-08-01,82.8122
2023-09-01,83.07
2023-10-01,83.2162
2023-11-01,83.266
2023-12-01,83.254
2024-01-01,83.1119
2024-02-01,83.37225737756486
2024-03-01,83.48359298567357
2024-04-01,83.69186177327803
2024-05-01,83.94550219069741
2024-06-01,84.15658525720718
2024-07-01,84.35524368298466
2024-08-01,84.83268563172669
2024-09-01,85.20069720190068
2024-10-01,85.64194894287847
2024-11-01,85.68434677597917
